pincode,city,state,active,is_serviceable,cod_allowed,min_order_amount,shipping_fee,cod_fee,free_shipping_threshold,created_at,updated_at,delivery_time,districts,is_returnable,is_exchangeable,return_window_days,exchange_window_days,cod_fees_applicable
110018,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""WEST""]"",false,true,0,3,true
110019,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""South East""]"",false,true,0,3,true
110020,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH"",""South East""]"",false,true,0,3,true
110021,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NEW DELHI""]"",false,true,0,3,true
110022,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NEW DELHI""]"",false,true,0,3,true
110023,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NEW DELHI""]"",false,true,0,3,true
110024,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""South East"",""SOUTH""]"",false,true,0,3,true
110025,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""South East"",""SOUTH"",""BUDAUN""]"",false,true,0,3,true
110026,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""WEST""]"",false,true,0,3,true
110027,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""WEST""]"",false,true,0,3,true
110028,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NEW DELHI""]"",false,true,0,3,true
110029,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH""]"",false,true,0,3,true
110030,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH""]"",false,true,0,3,true
110031,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SHAHDARA"",""EAST""]"",false,true,0,3,true
110032,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SHAHDARA""]"",false,true,0,3,true
110033,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH""]"",false,true,0,3,true
110034,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH WEST""]"",false,true,0,3,true
110035,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH WEST""]"",false,true,0,3,true
110036,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH""]"",false,true,0,3,true
110037,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NEW DELHI""]"",false,true,0,3,true
110038,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NEW DELHI""]"",false,true,0,3,true
110039,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH"",""NORTH WEST""]"",false,true,0,3,true
110040,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH WEST"",""NORTH""]"",false,true,0,3,true
110041,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""WEST""]"",false,true,0,3,true
110042,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH"",""NORTH WEST""]"",false,true,0,3,true
110043,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH WEST"",""WEST""]"",false,true,0,3,true
110044,Faridabad,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH"",""South East""]"",false,true,0,3,true
110045,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH WEST""]"",false,true,0,3,true
110046,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NEW DELHI""]"",false,true,0,3,true
110047,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH""]"",false,true,0,3,true
110048,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""South East"",""SOUTH""]"",false,true,0,3,true
110049,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH"",""South East""]"",false,true,0,3,true
110051,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SHAHDARA"",""EAST""]"",false,true,0,3,true
110052,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH"",""NORTH WEST""]"",false,true,0,3,true
110053,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH EAST""]"",false,true,0,3,true
110054,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""CENTRAL""]"",false,true,0,3,true
110055,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""CENTRAL"",""WEST""]"",false,true,0,3,true
110056,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH WEST""]"",false,true,0,3,true
110057,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NEW DELHI""]"",false,true,0,3,true
110058,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""WEST""]"",false,true,0,3,true
110059,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""WEST""]"",false,true,0,3,true
110060,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""CENTRAL""]"",false,true,0,3,true
110061,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NEW DELHI"",""SOUTH WEST""]"",false,true,0,3,true
110062,Faridabad,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH""]"",false,true,0,3,true
110063,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""WEST""]"",false,true,0,3,true
110064,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""WEST""]"",false,true,0,3,true
110065,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""South East"",""SOUTH""]"",false,true,0,3,true
110066,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NEW DELHI""]"",false,true,0,3,true
110067,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NEW DELHI""]"",false,true,0,3,true
110068,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH""]"",false,true,0,3,true
110069,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NEW DELHI""]"",false,true,0,3,true
110070,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NEW DELHI""]"",false,true,0,3,true
110071,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH WEST""]"",false,true,0,3,true
110072,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH WEST""]"",false,true,0,3,true
110073,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH WEST""]"",false,true,0,3,true
110074,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH""]"",false,true,0,3,true
110075,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH WEST""]"",false,true,0,3,true
110076,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH""]"",false,true,0,3,true
110077,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH WEST"",""NEW DELHI""]"",false,true,0,3,true
110078,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH WEST""]"",false,true,0,3,true
110080,Faridabad,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH""]"",false,true,0,3,true
110081,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH WEST""]"",false,true,0,3,true
110082,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH""]"",false,true,0,3,true
110083,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH WEST""]"",false,true,0,3,true
110084,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH"",""CENTRAL""]"",false,true,0,3,true
110085,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH WEST""]"",false,true,0,3,true
110086,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH WEST""]"",false,true,0,3,true
110087,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""WEST""]"",false,true,0,3,true
110088,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH""]"",false,true,0,3,true
110089,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH WEST""]"",false,true,0,3,true
110090,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH EAST""]"",false,true,0,3,true
110091,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""EAST""]"",false,true,0,3,true
110092,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""EAST"",""SHAHDARA""]"",false,true,0,3,true
110093,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH EAST""]"",false,true,0,3,true
110094,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH EAST""]"",false,true,0,3,true
110095,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SHAHDARA""]"",false,true,0,3,true
110096,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""EAST""]"",false,true,0,3,true
110097,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""SOUTH WEST""]"",false,true,0,3,true
110099,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH WEST""]"",false,true,0,3,true
110110,Delhi,DELHI,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NORTH WEST""]"",false,true,0,3,true
121001,Faridabad,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""FARIDABAD""]"",false,true,0,3,true
121002,Faridabad,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""FARIDABAD""]"",false,true,0,3,true
121003,Faridabad,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""FARIDABAD""]"",false,true,0,3,true
121004,Faridabad,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""PALWAL"",""FARIDABAD""]"",false,true,0,3,true
121005,Faridabad,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""FARIDABAD""]"",false,true,0,3,true
121006,Faridabad,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""FARIDABAD""]"",false,true,0,3,true
121007,Faridabad,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""FARIDABAD""]"",false,true,0,3,true
121008,Faridabad,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""FARIDABAD""]"",false,true,0,3,true
121009,Faridabad,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""FARIDABAD""]"",false,true,0,3,true
121010,Faridabad,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""FARIDABAD""]"",false,true,0,3,true
121012,Faridabad,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""FARIDABAD""]"",false,true,0,3,true
121013,Faridabad,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""FARIDABAD""]"",false,true,0,3,true
121014,Faridabad,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""FARIDABAD""]"",false,true,0,3,true
121015,Faridabad,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""FARIDABAD""]"",false,true,0,3,false
121101,Faridabad,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""FARIDABAD""]"",false,true,0,3,true
121102,Faridabad,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""PALWAL""]"",false,true,0,3,true
121103,Palwal,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""PALWAL""]"",false,true,0,3,false
121105,Palwal,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""PALWAL""]"",false,true,0,3,false
121106,Hodal,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""PALWAL""]"",false,true,0,3,false
121107,Hodal,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""PALWAL""]"",false,true,0,3,false
122001,Gurgaon,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122002,Gurgaon,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122003,Gurgaon,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122004,Gurgaon,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122005,Gurgaon,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122006,Gurgaon,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122007,Gurgaon,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122008,Gurgaon,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122009,Gurgaon,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122010,Gurgaon,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122011,Gurgaon,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122012,Gurgaon,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122015,Gurgaon,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122016,Gurgaon,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122017,Gurgaon,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122018,Gurgaon,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122051,Bilaspur-HR,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122052,Bilaspur-HR,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122098,Gurgaon,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122101,Gurgaon,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122102,Gurgaon,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
122103,Bilaspur-HR,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM"",""NUH""]"",false,true,0,3,false
122104,Nuh,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NUH""]"",false,true,0,3,false
122105,Bilaspur-HR,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NUH""]"",false,true,0,3,true
122107,Bilaspur-HR,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NUH""]"",false,true,0,3,false
122108,Nuh,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""NUH""]"",false,true,0,3,false
122413,Bilaspur-HR,HARYANA,true,true,false,0.00,0.00,0.00,0.00,"2026-05-07 21:44:00.000","2026-03-22 05:53:43.657","7 days",""[""GURUGRAM""]"",false,true,0,3,true
